"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Validar acceso a la seccion de cobertura nacional @TC006","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar acceso a la seccion de cobertura nacional @TC006"
"","0","Validar cambio de estado o region en el portal @TC009","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar cambio de estado o region en el portal @TC009"
"","0","Validar acceso y estructura del formulario de contacto @TC007","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar acceso y estructura del formulario de contacto @TC007"
"","0","Buscar un producto inexistente @TC002","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Búsqueda de productos en Liverpool @liverpool:","Búsqueda de productos en Liverpool @liverpool:","Buscar un producto inexistente @TC002"
"","0","Validar ingreso al detalle de un plan especifico @TC003","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar ingreso al detalle de un plan especifico @TC003"
"","0","Validar enlaces de redes sociales y acceso en el pie de pagina @TC010","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar enlaces de redes sociales y acceso en el pie de pagina @TC010"
"","0","Validar visualizacion del detalle de un producto @TC005","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar visualizacion del detalle de un producto @TC005"
"","0","Validar funcionamiento del buscador general @TC004","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar funcionamiento del buscador general @TC004"
"","0","Validar información de los productos mostrados @TC003","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Búsqueda de productos en Liverpool @liverpool:","Búsqueda de productos en Liverpool @liverpool:","Validar información de los productos mostrados @TC003"
"","0","Validar acceso a documentos legales del sitio @TC012","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar acceso a documentos legales del sitio @TC012"
"","0","Navegar a la categoría Ropa @TC005","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Búsqueda de productos en Liverpool @liverpool:","Búsqueda de productos en Liverpool @liverpool:","Navegar a la categoría Ropa @TC005"
"","0","BeforeSuite of suite Búsqueda de productos en Liverpool @liverpool: failed.","","Tue Aug 25 02:18:53 UTC 2026","failed","Tue Aug 25 02:18:53 UTC 2026","","Búsqueda de productos en Liverpool @liverpool:","Búsqueda de productos en Liverpool @liverpool:","BeforeSuite of suite Búsqueda de productos en Liverpool @liverpool: failed."
"","0","Expandir categoría principal @TC004","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Búsqueda de productos en Liverpool @liverpool:","Búsqueda de productos en Liverpool @liverpool:","Expandir categoría principal @TC004"
"","0","Validar contenido del apartado de ayuda o preguntas frecuentes @TC008","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar contenido del apartado de ayuda o preguntas frecuentes @TC008"
"","0","Validar navegacion hacia la seccion de planes y submenus @TC002","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar navegacion hacia la seccion de planes y submenus @TC002"
"","0","Validar comportamiento del menu en vista movil @TC011","","Tue Aug 25 02:18:53 UTC 2026","skipped","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar comportamiento del menu en vista movil @TC011"
"","0","BeforeSuite of suite Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel: failed.","","Tue Aug 25 02:18:53 UTC 2026","failed","Tue Aug 25 02:18:53 UTC 2026","","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel:","BeforeSuite of suite Validar flujos principales del portal Telcel desde el home hasta secciones de información, contacto y planes. @karelTelcel: failed."
